,name,price,product_url,image,freeship,average_review,number_of_sales,sale,tikinow,tikinow_member_deal,re_hon_hoan_tien,tra_gop,free_gift
11,Điện Thoại Samsung Galaxy A02s (4GB/64GB) - Hàng Chính Hãng,3.190.000 ₫,https://tiki.vn/dien-thoai-samsung-galaxy-a02s-4gb-64gb-hang-chinh-hang-p75323380.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.75323380,https://salt.tikicdn.com/cache/200x200/ts/product/2c/28/4a/048c42556545a326d64fc144970291b7.jpg,Yes, 100%,,,Yes,,,,
12,Điện Thoại iPhone 11 64GB  - Hàng  Chính Hãng,14.190.000 ₫,https://tiki.vn/dien-thoai-iphone-11-64gb-hang-chinh-hang-p32033717.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.32033717,https://salt.tikicdn.com/cache/200x200/ts/product/1a/a7/f9/7fb9014e3e3358e24a90a0377172dd74.jpg,Yes, 96%,30,,,No,,Yes,
13,Điện Thoại Samsung Galaxy S20 FE - Hàng Chính Hãng,15.490.000 ₫,https://tiki.vn/dien-thoai-samsung-galaxy-s20-fe-hang-chinh-hang-p68693081.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.68693081,https://salt.tikicdn.com/cache/200x200/ts/product/26/23/3b/cb131a8e6cb023c4f40a0228f3987e08.png,No,,,,,,,,
14,Điện Thoại OnePlus  Nord CE 5G (12GB/256G) - Hàng Chính Hãng,8.290.000 ₫,https://tiki.vn/dien-thoai-oneplus-nord-ce-5g-12gb-256g-hang-chinh-hang-p109516584.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.109516584,https://salt.tikicdn.com/cache/200x200/media/catalog/producttmp/7f/9d/33/1c59622f95960307a548e119631b6a57.jpg,Yes, 96%,,,Yes,No,Yes,Yes,
15,Điện Thoại iPhone 12 Pro 128GB - Hàng Chính Hãng,26.490.000 ₫,https://tiki.vn/dien-thoai-iphone-12-pro-128gb-hang-chinh-hang-p71198345.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.71198345,https://salt.tikicdn.com/cache/200x200/ts/product/14/f0/60/eb03fe0d4f10f4d445b7904cff260794.jpg,No, 90%,,,Yes,No,,Yes,
16,Tecno Pova 2 6GB l 128GB - Điện Thoại Thông Minh Chiến Game Cực Đỉnh - Hàng Chính Hãng,4.390.000 ₫,https://tiki.vn/tecno-pova-2-6gb-l-128gb-dien-thoai-thong-minh-chien-game-cuc-dinh-hang-chinh-hang-p103046198.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.103046198,https://salt.tikicdn.com/cache/200x200/ts/product/ca/5a/c0/8deb62c2059970fbbcdb6b8d74b656ba.png,Yes, 96%,87,-12%,Yes,No,Yes,Yes,
17,Điện Thoại Oppo Reno 5 (8GB/128G) - Hàng Chính Hãng,7.250.000 ₫,https://tiki.vn/dien-thoai-oppo-reno-5-8gb-128g-hang-chinh-hang-p74489817.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.74489817,https://salt.tikicdn.com/cache/200x200/ts/product/83/ca/55/7cf04cfb464a9385452ed6ef24e8e450.jpg,Yes, 96%,246,-10%,Yes,No,Yes,Yes,
18,Điện thoại Vsmart Joy 4 (6GB/64GB) - Hàng chính hãng,3.090.000 ₫,https://tiki.vn/dien-thoai-vsmart-joy-4-6gb-64gb-hang-chinh-hang-p102583219.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.102583219,https://salt.tikicdn.com/cache/200x200/ts/product/77/da/46/3ead96eb4fd1dfae64066f8e9f7914c9.jpg,No, 72%,,,,,,,
19,Máy đọc sách Kindle PaperWhite Gen 4 (10th) - Bản 8GB - Hàng chính hãng,2.950.000 ₫,https://tiki.vn/may-doc-sach-kindle-paperwhite-gen-4-10th-ban-8gb-2019-hang-chinh-hang-p6597807.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.6597807,https://salt.tikicdn.com/cache/200x200/ts/product/be/f2/ba/f7cacd4da64139b88acb667612d814ba.jpg,Yes, 90%,,,,,Yes,,
20,Điện Thoại Samsung Galaxy M62 (8GB/256GB) - Hàng Chính Hãng,9.190.000 ₫,https://tiki.vn/dien-thoai-samsung-galaxy-m62-8gb-256gb-hang-chinh-hang-p104038451.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.104038451,https://salt.tikicdn.com/cache/200x200/ts/product/d5/84/6f/a2f678ed710744f27cedbf7e56a16b27.png,Yes, 92%,1000,,Yes,No,,Yes,
21,Điện Thoại iPhone 12 64GB - Hàng  Chính Hãng,18.790.000 ₫,https://tiki.vn/dien-thoai-iphone-12-64gb-hang-chinh-hang-p70766415.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.70766415,https://salt.tikicdn.com/cache/200x200/ts/product/e1/66/c2/47859ea06eb4b00ad41bbe81636e4373.jpg,No, 96%,13,-25%,Yes,No,,Yes,
22,Điện Thoại iPhone 12 128GB - Hàng Chính Hãng,20.890.000 ₫,https://tiki.vn/dien-thoai-iphone-12-128gb-hang-chinh-hang-p71198347.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.71198347,https://salt.tikicdn.com/cache/200x200/ts/product/79/d8/5c/726efb19f20a31871a1cc1bbe34458cf.jpg,Yes,,1,,,,,,
23, Điện thoại Xiaomi Poco X3 Pro 6GB l 128GB - Hàng chính hãng,5.790.000 ₫,https://tiki.vn/dien-thoai-xiaomi-poco-x3-pro-6gb-l-128gb-hang-chinh-hang-p88100602.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.88100602,https://salt.tikicdn.com/cache/200x200/ts/product/80/34/36/cfb8c025dc232930700cdf45d2d8a8de.png,Yes, 96%,,,,,Yes,,
24,Điện Thoại iPhone 12 Pro Max 256GB - Hàng Chính Hãng,31.490.000 ₫,https://tiki.vn/dien-thoai-iphone-12-pro-max-256gb-hang-chinh-hang-p71197117.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.71197117,https://salt.tikicdn.com/cache/200x200/ts/product/27/55/4e/c9089692a19179dbde1aa007855f9c36.jpg,No, 100%,1,-17%,Yes,No,Yes,Yes,
25,Điện Thoại Di Động GSM ZONO N8110 2.4inch – Hàng Nhập Khẩu - Vàng,209.000 ₫,https://tiki.vn/dien-thoai-di-dong-gsm-zono-n8110-2-4inch-hang-nhap-khau-vang-p75453884.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.75453884,https://salt.tikicdn.com/cache/200x200/ts/product/2d/c1/61/0d6e02395e388efd5960d48eb3a36e3a.jpg,Yes, 80%,159,,Yes,,Yes,,
26,Điện Thoại Samsung Galaxy A12 (4GB/128GB) - ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ - Hàng Chính Hãng,3.689.000 ₫,https://tiki.vn/dien-thoai-samsung-galaxy-a12-4gb-128gb-da-kich-hoat-bao-hanh-dien-tu-hang-chinh-hang-p74935377.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.74935377,https://salt.tikicdn.com/cache/200x200/ts/product/8a/62/fd/f9ef50c7729642b5912b3774e38a862b.jpg,No, 92%,,,,No,,Yes,
27,Điện Thoại Nokia 215 4G - Hàng Chính Hãng,649.000 ₫,https://tiki.vn/dien-thoai-nokia-215-4g-hang-chinh-hang-p72882726.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.72882726,https://salt.tikicdn.com/cache/200x200/ts/product/82/75/da/c8fdc7c380d4fb2e29c5e1c95195bb27.jpg,No, 96%,,,,,,,
28,Máy Tính Bảng Huawei Matepad | Màn Hình 2K Fullview | Hiệu Suất Mạnh Mẽ | Âm Thanh Vòm Sống Động | Hàng Chính Hãng,6.490.000 ₫,https://tiki.vn/may-tinh-bang-huawei-matepad-man-hinh-2k-fullview-hieu-suat-manh-me-am-thanh-vom-song-dong-hang-chinh-hang-p90147619.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.90147619,https://salt.tikicdn.com/cache/200x200/ts/product/49/3d/37/fe820558e7731a308400c7c5b79aa940.jpg,Yes, 96%,73,,Yes,No,Yes,Yes,
29,Điện thoại Energizer E100 -Hàng  Chính Hãng,419.000 ₫,https://tiki.vn/dien-thoai-energizer-e100-hang-chinh-hang-p49541097.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.49541097,https://salt.tikicdn.com/cache/200x200/ts/product/98/25/89/eb16c85cd762e6a276774d5678ec3cdf.jpg,No, 82%,133,-14%,Yes,,Yes,,
30,Tecno Pova 2 4GB l 64GB - Điện Thoại Thông Minh Chiến Game Cực Đỉnh - Hàng Chính Hãng,3.790.000 ₫,https://tiki.vn/tecno-pova-2-4gb-l-64gb-dien-thoai-thong-minh-chien-game-cuc-dinh-hang-chinh-hang-den-p107348438.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.107348438,https://salt.tikicdn.com/cache/200x200/ts/product/d4/50/e4/e7c058c983a84d47b11e78f6af4c0eae.png,Yes, 96%,,,Yes,No,,Yes,
31, Máy Tính Bảng HUAWEI MatePad T 10 | Hiệu Suất Mượt Mà | Chế Độ Bảo Vệ Mắt | Âm Thanh Nổi Sống Động | Hàng Chính Hãng ,3.790.000 ₫,https://tiki.vn/may-tinh-bang-huawei-matepad-t-10-hieu-suat-muot-ma-che-do-bao-ve-mat-am-thanh-noi-song-dong-hang-chinh-hang-p98691894.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.98691894,https://salt.tikicdn.com/cache/200x200/ts/product/f8/c3/ff/9486b3dc02f794d8f22d05bfb8659d03.jpg,Yes, 90%,,,Yes,No,,Yes,
32,Điện Thoại Oppo A54 (6GB/128GB) - Hàng Chính Hãng,4.250.000 ₫,https://tiki.vn/dien-thoai-oppo-a54-6gb-128gb-hang-chinh-hang-p114769680.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.114769680,https://salt.tikicdn.com/cache/200x200/ts/product/c1/59/2b/d4e0cdfc8feb7611c663c34347203f96.jpg,Yes, 92%,1000,-7%,Yes,No,Yes,Yes,
33,Máy đọc sách All New Kindle Bản đặc biệt 8GB - Hàng nhập khẩu,2.160.000 ₫,https://tiki.vn/may-doc-sach-all-new-kindle-ban-dac-biet-8gb-hang-nhap-khau-p66773643.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.66773643,https://salt.tikicdn.com/cache/200x200/ts/product/8b/d5/ff/8b8ab913d1f347396e5bfcb0fc336b74.jpg,Yes, 100%,4,,,,Yes,,
34,Điện thoại Vsmart Star 4 (3GB/32GB) - Hàng Chính Hãng,2.290.000 ₫,https://tiki.vn/dien-thoai-vsmart-star-4-3gb-32gb-hang-chinh-hang-p59043365.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.59043365,https://salt.tikicdn.com/cache/200x200/ts/product/14/50/80/afc6231938e536048c251fab5033f748.jpg,No, 94%,,,,,,,
35,Máy tính bảng HUAWEI MatePad T 10s - Hàng Phân Phối Chính Hãng,5.090.000 ₫,https://tiki.vn/may-tinh-bang-huawei-matepad-t-10s-hang-phan-phoi-chinh-hang-p75321722.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.75321722,https://salt.tikicdn.com/cache/200x200/ts/product/57/f2/ce/fdcf7fb9a17f19b99f0ae55a1ff2eda9.jpg,Yes, 92%,,,,No,Yes,Yes,
36,Điện thoại Nokia 105 Dual Sim 2019 - Hàng chính hãng,399.000 ₫,https://tiki.vn/dien-thoai-nokia-105-dual-sim-2019-hang-chinh-hang-p105633275.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.105633275,https://salt.tikicdn.com/cache/200x200/ts/product/fc/94/70/1458e7fadf7039e33ad0905fc3c4809b.jpg,No, 92%,63,,,,,,
37,Điện Thoại Xiaomi Redmi Note 10 Pro (8GB/128GB) - Hàng Chính Hãng,6.889.000 ₫,https://tiki.vn/dien-thoai-xiaomi-redmi-note-10-pro-8gb-128gb-hang-chinh-hang-p84715674.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.84715674,https://salt.tikicdn.com/cache/200x200/ts/product/5d/fb/78/f0d375927a275d0efe2d35898b3bafca.jpg,No, 96%,17,-8%,,,Yes,,
38,Combo Máy Đọc Sách Kindle Paperwhite Gen 10th (8GB - Màu Đen) và Bao da WELL BEGUN Màu Ghi Xám - Hàng Chính Hãng,3.990.000 ₫,https://tiki.vn/combo-may-doc-sach-kindle-paperwhite-gen-10th-8gb-mau-den-va-bao-da-well-begun-mau-ghi-xam-hang-chinh-hang-p19462200.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.19462200,https://salt.tikicdn.com/cache/200x200/ts/product/32/43/97/1826b8f651d510030d8850e738cad780.jpg,Yes, 92%,,,Yes,No,Yes,Yes,
39,Điện Thoại Nokia 2.4 (2GB/32GB) - Hàng Chính Hãng,2.190.000 ₫,https://tiki.vn/dien-thoai-nokia-2-4-hang-chinh-hang-p69271416.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.69271416,https://salt.tikicdn.com/cache/200x200/ts/product/3e/94/b0/880b0055b189388585c8462239e39f08.jpg,Yes, 100%,,,,,,,
40,"Điện Thoại di động GSM Vtel A2 (2 Sim) - Số To, Chữ To, Pin Bền, Thiết Kế Đẹp - Hàng Chính Hãng",179.000 ₫,https://tiki.vn/dien-thoai-di-dong-gsm-vtel-a2-2-sim-so-to-chu-to-pin-ben-thiet-ke-dep-hang-chinh-hang-p77756018.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.77756018,https://salt.tikicdn.com/cache/200x200/ts/product/67/4d/07/dea55882012b84b6296fa6ffd944fb9d.png,Yes, 90%,118,,Yes,,Yes,,
41,Điện Thoại Nokia 105 Single Sim - Hàng Chính Hãng,355.000 ₫,https://tiki.vn/dien-thoai-nokia-105-single-sim-2019-hang-chinh-hang-p34942696.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.34942696,https://salt.tikicdn.com/cache/200x200/ts/product/a0/e8/2c/1f4de45551a5e25d165c86de4a52ee99.jpg,No, 100%,711,,Yes,,Yes,,
42,Điện Thoại Smartphone DXD 20Pro Hàng Chính Hãng,1.290.000 ₫,https://tiki.vn/dien-thoai-smartphone-dxd-20pro-hang-chinh-hang-p55518608.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.55518608,https://salt.tikicdn.com/cache/200x200/ts/product/12/70/13/941e4cee081c3aa9078f5d85cef5d4fb.jpg,Yes, 64%,,,,,Yes,,
43,Điện Thoại Thông Minh Xiaomi Poco F3 8GB l 256GB - Hàng Chính Hãng,8.890.000 ₫,https://tiki.vn/dien-thoai-thong-minh-xiaomi-poco-f3-8gb-l-256gb-hang-chinh-hang-p99862142.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.99862142,https://salt.tikicdn.com/cache/200x200/ts/product/51/3c/f1/7f50eea99b28ca914d41fbf48df18795.jpg,No, 100%,,,,,Yes,,
44,Điện Thoại iPhone 11 64GB  - Hàng  Chính Hãng,13.650.000 ₫,https://tiki.vn/dien-thoai-iphone-11-64gb-hang-chinh-hang-p123835560.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.123835560,https://salt.tikicdn.com/cache/200x200/media/catalog/producttmp/3f/ae/c5/c5b49af6b52996611eb0e6a348030514.jpg,Yes, 96%,1000,-3%,Yes,No,,Yes,
45,Máy đọc sách Kindle Oasis 3 - Bản Mỹ - Hàng nhập khẩu,6.390.000 ₫,https://tiki.vn/may-doc-sach-kindle-oasis-3-ban-my-hang-nhap-khau-p72284060.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.72284060,https://salt.tikicdn.com/cache/200x200/ts/product/75/95/f9/b4d5dee86e22c9771234a2b5b424a3df.jpg,Yes, 92%,73,,,,Yes,,
46,Điện Thoại iPhone 12 Pro Max 128GB - Hàng Chính Hãng,28.290.000 ₫,https://tiki.vn/dien-thoai-iphone-12-pro-max-128gb-hang-chinh-hang-p123830435.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.123830435,https://salt.tikicdn.com/cache/200x200/media/catalog/producttmp/e0/7d/fc/56b2ba79f481a9ddc5b609869f307013.jpg,Yes, 100%,,,Yes,No,Yes,Yes,
47,Điện Thoại Nokia 210 - Hàng Chính Hãng,729.000 ₫,https://tiki.vn/dien-thoai-nokia-210-hang-chinh-hang-p12628815.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.12628815,https://salt.tikicdn.com/cache/200x200/ts/product/39/d6/56/5a0d38812d0e2cbdf2731610dc4d8738.jpg,No, 92%,,,,,,,
